Sentence,Label,Portal,active,euphimism,details,exaggeration,bragging,litote,repetition,metaphor,he said,apparent denial,apparent concession,blame transfer,other kinds,opinion,irony
The strategic and military calculus of our relationship with Cuba has fundamentally changed .,assumption,aljazeera,,,,,,,,,,,,,,,
Presidents and Congress no longer have the blanket justification of Cuba as a military threat as they did during the Cold War .,assumption,aljazeera,,,,,,,,,,,,,,,
"For Cuban exiles, 1989 was not so much a watershed moment as an opportunity to continue applying pressure to a failing regime .",assumption,aljazeera,,,,,,,,,,,,,,,
"The Cuban-American lobby continued to promote isolationism , believing that this post-Soviet moment was finally the chance to see a democratic counterrevolution on the island .",assumption,aljazeera,,,,,,,,,,,,,,,
This belief that isolation would force the collapse of Castro regime restricted policy responses available to the US government and presidential administrations .,assumption,aljazeera,,,,,,,,,,,,,,,
"Changes in the global economic and political relationship with Cuba did not affect US policy and Cuba, for the most part, was excluded from the more moderate and tolerant US foreign policy towards Latin America .",assumption,aljazeera,,,,,,,,,,,,,,,
Republican presidents and legislators proved to be more punitive towards the island - particularly given their reliance on the Cuban-American lobby for monetary and electoral support in south Florida .,assumption,aljazeera,,,,,,,,,,,,,,,
"Despite a cooling in relations during the late 1990s, due to the shooting down of the two US planes flown by ""Brothers to the Rescue"", President Bill Clinton eased restrictions on humanitarian aid, broadened the ability to send remittances , increased allowable person-to-person interactions, and resumed direct flights between the countries .",anecdote,aljazeera,,,,,,,,,,,,,,,
"President Clinton's actions were part of a broader government strategy of ""constructive engagement"" , in which the US would actively engage with the Cuban people, but maintain pressure on the government .",assumption,aljazeera,,,,,,,,,,,,,,,
"The new millennium did not bring significant changes in relations as, true to Republican form , President George W Bush maintained the status quo of ""constructive engagement"" .",assumption,aljazeera,,,,,,,,,,,,,,,
"If anything , his administration took a harder line, at times including Cuba in the same paragraph as the ""Axis of Evil"" .",assumption,aljazeera,,,,,,,,,,,,,,,
"However , even as President Bush, Senator Marco Rubio, and conservative Cuban- American legislators continued to push a hard line on Cuba , the profile of the average Cuban American changed .",assumption,aljazeera,,,,,,,,,,,,,,,
"The stereotypical conservative Cuban - still upset, and rightfully so, over the nationalisation of private property and human rights abuses during the revolution - still attempts to dominate political discourse .",assumption,aljazeera,,,,,,,,,,,,,,,
"But a new face of the Cuban American has emerged - young, second-generation children have come of age with the desire to see for themselves the homeland that they have only heard about in stories ; and new, post-1989 migrants , who are economic rather than political refugees , have closer personal ties to the island .",assumption,aljazeera,,,,,,,,,,,,,,,
The election of President Obama and the nomination of Hillary Clinton as Secretary of State signalled a new era with a renewed focus on diplomacy .,assumption,aljazeera,,,,,,,,,,,,,,,
"Four months after taking office , the administration quietly continued to liberalise relations between the US and Cuba .",assumption,aljazeera,,,,,,,,,,,,,,,
"However ,  Alan Gross' imprisonment in 2009 gave opportunity for the age-old arguments against Cuba to resurface , with the old guard claiming that nothing had changed and seeing it as the latest example of the long history of Cuban aggression .",assumption,aljazeera,,,,,,,,,,,,,,,
"I do not dispute the fact that the Castro brothers have been harsh dictators and that their system of government has deeply damaged multiple generations of Cubans, nor do I dispute that regime change should still be a goal of US policy .",assumption,aljazeera,,,,,,,,,,,,,,,
"However as my analysis has shown , the rest of the story has changed .",assumption,aljazeera,,,,,,,,,,,,,,,
"Cuba's economy continues to search for growth , and the government is actively looking outside the country for investment .",assumption,aljazeera,,,,,,,,,,,,,,,
Long gone are the existential security threats that came from the island during the Cold War .,assumption,aljazeera,,,,,,,,,,,,,,,
"Moreover ,  this reflects the changing opinions of Cuban Americans .",assumption,aljazeera,,,,,,,,,,,,,,,
"The new modes of engagement announced by Obama on December 17 were not an acknowledgement of defeat , but an effort for a new way forward that reflects those changes .",assumption,aljazeera,,,,,,,,,,,,,,,
"December 17 will no doubt be an important moment in the lives of Cubans and Cuban Americans , but it deserves more analysis than the knee-jerk reactions on the front pages of newspapers and talk shows in the US .",assumption,aljazeera,,,,,,,,,,,,,,,
Obama should be commended for basing policy on facts rather than emotions .,assumption,aljazeera,,,,,,,,,,,,,,,
"The US must continue to actively engage with the island , lest we lose the opportunity to influence a neighbour that is gradually rejoining the regional and world economy and political order .",assumption,aljazeera,,,,,,,,,,,,,,,
"The US must continue to actively engage with the island , lest we lose the opportunity to influence a neighbour that is gradually rejoining the regional and world economy and political order .",assumption,aljazeera,,,,,,,,,,,,,,,
"A traditional Uruguayan slow-cooked steak; a pair of orange prison uniform pants that will never be worn again waving like a victory flag out of a balcony window ; the words ""Long Live Freedom"" scrawled in Spanish on black sands gleaming in the afternoon sun .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Days after the US military sent six cleared Guantanamo Bay detainees to Uruguay , these were some of the images published as part of a photo essay on December 14 in the Miami Herald .",anecdote,aljazeera,,,,,,,,,,,,,,,
The piece illustrated a vivid picture of human resilience after over a decade of extreme privation and suffering .,assumption,aljazeera,,,,,,,,,,,,,,,
"As inspirational as they were , the photographs also served as a stark contrast to the daily realities experienced by the former inmates during the course of their detention - realities still experienced by the 127 men still held there .",assumption,aljazeera,,,,,,,,,,,,,,,
"On Guantanamo's 13th anniversary, the US government must continue to work diligently without any more excuses to ensure due process for the remaining detainees and shut down one of the darkest holdovers from the ""war on terror"" .",assumption,aljazeera,,,,,,,,,,,,,,,
Glimmer of hope .,no-unit,aljazeera,,,,,,,,,,,,,,,
"In a joint declaration issued last year by the UN Special Rapporteur on Torture, several other UN agencies and the Inter-American Commission on Human Rights (IACHR), the US was urged to ""adopt all legislative, administrative, judicial, and any other types of measures necessary to prosecute, with full respect for the right to due process, the individuals being held at Guantanamo Naval Base or , where applicable , to provide for their immediate release or transfer to a third country"" .",testimony,aljazeera,,,,,,,,,,,,,,,
"Yet ,  of the total of 779 men and boys that have been detained at Guantanamo Bay since 2002 , only nine have been convicted of any crime .",statistics,aljazeera,,,,,,,,,,,,,,,
"Of the 127 remaining detainees, 59 have been unanimously cleared by US intelligence and security agencies, of any involvement in terrorism but continue to await their release .",statistics,aljazeera,,,,,,,,,,,,,,,
"The remaining 68 inmates are classified as ""indefinite detainees"", a Kafka-esque category used for detainees ineligible for either trial or release .",statistics,aljazeera,,,,,,,,,,,,,,,
"These men will face Periodic Review Board hearings, an incipient interagency process that will assess whether an inmate poses a threat to the US or is eligible for transfer .",assumption,aljazeera,,,,,,,,,,,,,,,
"However ,  this procedure lacks guarantees to due process and will likely prolong situations of arbitrary detention .",assumption,aljazeera,,,,,,,,,,,,,,,
"Moreover , as inmate transfers continue , the US must abide by the principle of ""non-refoulement"" , ensuring detainees' right to not be returned to a place where they will face persecution, torture or death .",assumption,aljazeera,,,,,,,,,,,,,,,
"This guarantee was not upheld with cleared inmate and Centre for Justice and International Law and Centre for Constitutional Rights' client Djamel Ameziane , who was forcibly repatriated back to his birth country of Algeria despite stated fears of persecution and standing precautionary measures ordered in his favour .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Upon his return, Ameziane was detained by Algerian government agents as part of an ""evaluation process"" and subjected to abuses that left him in poor health .",anecdote,aljazeera,,,,,,,,,,,,,,,
Ameziane's forcible repatriation is only one of several other cases .,assumption,aljazeera,,,,,,,,,,,,,,,
"In 2014 , two other men were involuntarily repatriated to Libya and , in 2007, two others were sent back to Tunisia .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Resettling detainees back to countries that will expose them and their families to threats, persecution, and - in the case of detainees who are not cleared - to ongoing detention and torture , will only deepen years of suffering and injustice .",assumption,aljazeera,,,,,,,,,,,,,,,
"The US Senate committee's grisly report on the CIA's interrogation methods and the trickling repatriation of cleared inmates represent important steps towards making the truth of the ""war on terror"" available to the public .",assumption,aljazeera,,,,,,,,,,,,,,,
"However ,  the question over how material and intellectual authors of torture will be held accountable in accordance with international law remains .",assumption,aljazeera,,,,,,,,,,,,,,,
"As party to the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment, the US is not only forbidden from practising torture but required to prevent and hold accountable any individuals who are involved in these particular kinds of human rights violations .",common-ground,aljazeera,,,,,,,,,,,,,,,
"Under this convention, US federal authorities are required to conduct ""prompt and impartial investigations"" of these crimes .",testimony,aljazeera,,,,,,,,,,,,,,,
"Additionally ,  under the Common Article Three of the Geneva Convention - the article which bars torture, cruel, inhumane, and degrading treatment against prisoners of war - the US could be held accountable for war crimes .",assumption,aljazeera,,,,,,,,,,,,,,,
"Finally , under international law, amnesty laws are not permitted and the authors of torture must be prosecuted - at home or abroad .",common-ground,aljazeera,,,,,,,,,,,,,,,
The public availability of documentation to establish the truth behind Guantanamo Bay will no doubt play a pivotal role in dismantling the architecture of state-sanctioned human rights abuses .,assumption,aljazeera,,,,,,,,,,,,,,,
"While the US Senate's scathing report revealed some of the most shocking instances of torture , its 6,700 pages are the tip of the iceberg .",assumption,aljazeera,,,,,,,,,,,,,,,
"In early December, a US judge ordered the disclosure of over 30 tapes depicting the controversial nasogastric force-feedings of hunger strikers in Guantanamo , including Abu Wael Dhiab - one of the six men released to Uruguay .",anecdote,aljazeera,,,,,,,,,,,,,,,
"While attempts are being made by the Obama administration to overturn the ruling , human rights groups continue to demand for release of the tapes .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Almost six years after US President Barack Obama signed an executive order to shut down Guantanamo Bay , it is unfathomable that this international symbol for US human rights abuses remains open .",assumption,aljazeera,,,,,,,,,,,,,,,
The ongoing reluctance to punish those responsible for authorising and using torture is even more unfortunate .,assumption,aljazeera,,,,,,,,,,,,,,,
"Yet ,  now more than ever, the US government can send a powerful message stating that no one is exempt from international accountability and prosecution .",assumption,aljazeera,,,,,,,,,,,,,,,
"What is done now will start to ensure that torture - or ""Enhanced Interrogation Techniques"" - are never used by the US or other military and intelligence personnel in situations of conflict .",assumption,aljazeera,,,,,,,,,,,,,,,
"By promoting the pursuit of truth and justice , the US will finally be able to close one of the grimmest chapters in its history .",assumption,aljazeera,,,,,,,,,,,,,,,
"By promoting the pursuit of truth and justice , the US will finally be able to close one of the grimmest chapters in its history .",assumption,aljazeera,,,,,,,,,,,,,,,
"January 15 marks a decade since Mahmoud Abbas became the Palestinian president , during which time the goals he claims to espouse not only remain unrealised, but are more remote than ever .",assumption,aljazeera,,,,,,,,,,,,,,,
He is still in office despite his term ending six years ago; the democratic process that brought him to power no longer in existence .,anecdote,aljazeera,,,,,,,,,,,,,,,
He speaks of his people's human rights while his Palestinian Authority actively curtails them .,assumption,aljazeera,,,,,,,,,,,,,,,
He claims to champion their national rights while collaborating unconditionally with the country that denies them .,assumption,aljazeera,,,,,,,,,,,,,,,
"Abbas' image as a hapless, harmless figure deflects from the cunning and ruthlessness of someone whose primary concern, like the Middle East's other autocrats , seems to be his longevity .",assumption,aljazeera,,,,,,,,,,,,,,,
The fact that he plays ball with the West and Israel somehow makes this okay .,assumption,aljazeera,,,,,,,,,,,,,,,
"Where other Arab strongmen nurture an image of power to maintain it , he relies on being seen as an underdog .",assumption,aljazeera,,,,,,,,,,,,,,,
"But this illusion , which has traditionally served Abbas well , no longer extends to his people .",assumption,aljazeera,,,,,,,,,,,,,,,
"Many think he and the PA serve their own interests and those of Israel, rather than those of the Palestinians .",assumption,aljazeera,,,,,,,,,,,,,,,
"According to a poll last month, 55 percent believe that the PA has become ""a burden on the Palestinian people"" .",statistics,aljazeera,,,,,,,,,,,,,,,
"Regarding the presidency, Abbas has consistently lagged in opinion polls behind his Fatah colleague, Marwan Barghouti .",statistics,aljazeera,,,,,,,,,,,,,,,
"Since Israel's last Gaza invasion, he also runs behind Hamas leader Ismail Haniyeh .",statistics,aljazeera,,,,,,,,,,,,,,,
"Is it mere coincidence, then , that Abbas has been lacklustre in campaigning for Barghouti's release from Israeli jail; or in pursuing and implementing national unity deals with Hamas that call for elections?  Since the signing of the latest reconciliation agreement in April, Abbas has at various times threatened to end it , and has been openly adversarial towards Hamas .",assumption,aljazeera,,,,,,,,,,,,,,,
"Elections that were due within six months never happened , so he remains unchallenged - this has gone largely unnoticed .",assumption,aljazeera,,,,,,,,,,,,,,,
The PA  - which is meant to safeguard Palestinian rights - serially abuses them .,assumption,aljazeera,,,,,,,,,,,,,,,
"Human Rights Watch has documented ""police beatings and arbitrary arrests of demonstrators"", ""excessive force"", ""repressing critical news reporting and demonstrations"", ""suppressing dissenting views"", and ""serious rights abuses, including credible allegations of torture"" , for which ""no security officials were convicted"" .",testimony,aljazeera,,,,,,,,,,,,,,,
"As such, the PA is not only failing to curb Israeli abuses , but is busy perpetrating its own, all under Abbas' watch .",assumption,aljazeera,,,,,,,,,,,,,,,
The PA has garnered a reputation among Palestinians for managing the occupation rather than striving to end it .,assumption,aljazeera,,,,,,,,,,,,,,,
"One way it does this is ""security coordination"" with Israel , which Abbas described last year as ""sacred"" despite the vast majority of Palestinians opposing it .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Such coordination serves Israel by enabling it to subcontract its occupation , and serves the PA by helping it suppress internal dissent .",assumption,aljazeera,,,,,,,,,,,,,,,
It certainly does not benefit the Palestinian people .,assumption,aljazeera,,,,,,,,,,,,,,,
"Abbas and his foreign minister have made grotesque assurances that as long as he is president , he will not allow an uprising against Israel .",anecdote,aljazeera,,,,,,,,,,,,,,,
"So the PA , which is supposed to be part of a national liberation struggle , is willing to put down an uprising by its own people against their subjugation .",assumption,aljazeera,,,,,,,,,,,,,,,
This is nothing short of betrayal .,assumption,aljazeera,,,,,,,,,,,,,,,
"For more than 20 years, the PA has participated in a ""peace process"" that has greatly entrenched Israeli control .",assumption,aljazeera,,,,,,,,,,,,,,,
Abbas himself was an architect of the disastrous Oslo Accords .,anecdote,aljazeera,,,,,,,,,,,,,,,
The occupied territories are now so colonised and fragmented that a viable Palestinian state is widely considered impossible .,assumption,aljazeera,,,,,,,,,,,,,,,
"Yet ,  Abbas still wants to negotiate , despite Israel being clearly opposed to Palestinian self-determination .",assumption,aljazeera,,,,,,,,,,,,,,,
"What , then ,  is the point of negotiating? Perhaps to preserve the privileged elites to which the PA and the ""peace process"" gave birth .",assumption,aljazeera,,,,,,,,,,,,,,,
"After all ,  allegations of corruption and nepotism, including Abbas and his family, are nothing new .",assumption,aljazeera,,,,,,,,,,,,,,,
"With the help of international aid, the PA is the largest employer of Palestinians, much like other autocracies that encourage public dependence on the state to avoid mass unrest .",assumption,aljazeera,,,,,,,,,,,,,,,
A power imbalance alone cannot explain Abbas' policy choices regarding Israel .,assumption,aljazeera,,,,,,,,,,,,,,,
"He opposes armed resistance, and has gone to great lengths to disarm militants in the West Bank .",anecdote,aljazeera,,,,,,,,,,,,,,,
"However ,  he also opposes peaceful forms of resistance, including the increasingly effective Boycott, Divestment and Sanctions movement .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Furthermore ,  it took the PA more than two years since Palestine's upgraded UN status to apply to join the International Criminal Court , despite repeated threats to do so amid constant Israeli provocations .",assumption,aljazeera,,,,,,,,,,,,,,,
"That Abbas finally relented may not only, or necessarily, be about losing patience with Israel , but about assuaging mounting Palestinian anger at his procrastination in applying to the ICC .",assumption,aljazeera,,,,,,,,,,,,,,,
"Meanwhile ,  he says he will keep pushing for a UN Security Council resolution calling for a deadline to end Israel's occupation , despite the certainty of repeated failure by US veto .",assumption,aljazeera,,,,,,,,,,,,,,,
Abbas seems to be attempting a balancing act .,assumption,aljazeera,,,,,,,,,,,,,,,
"He wants to prove to Israel, and his western and Arab backers , that he is their best Palestinian partner , safe in the knowledge that they will not accept Hamas rule , but mindful not to suffer the same fate as Yasser Arafat once he was no longer deemed useful or reliable .",assumption,aljazeera,,,,,,,,,,,,,,,
"However ,  his recent, uncharacteristic defiance against Israel reflects a need to stop his flagging domestic popularity turning into an uprising against him and the PA .",assumption,aljazeera,,,,,,,,,,,,,,,
"Abbas has nothing to show his people after 10 years as president, and at least another decade as part of the ""peace process"" .",assumption,aljazeera,,,,,,,,,,,,,,,
"He remains in office because of, not despite, Israel's occupation and Palestinian disunity .",assumption,aljazeera,,,,,,,,,,,,,,,
"He remains in office because of, not despite, Israel's occupation and Palestinian disunity .",assumption,aljazeera,,,,,,,,,,,,,,,
Saturday's failed hostage rescue mission in Yemen was indeed tragic .,assumption,aljazeera,,,,,,,,,,,,,,,
"While the official details as to exactly what happened have not yet been released , it appears Luke Somers, an American journalist , and Pierre Korkie, a South African teacher, were killed by their captors during a night-time rescue attempt carried out by US Navy SEALs .",anecdote,aljazeera,,,,,,,,,,,,,,,
Al-Qaeda in the Arabian Peninsula (AQAP) had been holding Somers and Korkie captive for over a year .,anecdote,aljazeera,,,,,,,,,,,,,,,
It was the second such attempt to rescue Somers in two weeks .,anecdote,aljazeera,,,,,,,,,,,,,,,
"On November 25, a SEALs team hit what they thought was the compound holding Somers , who , as it turns out , had been moved from there just hours before .",anecdote,aljazeera,,,,,,,,,,,,,,,
"In Saturday's operation, the SEALs knew Somers' exact location .",anecdote,aljazeera,,,,,,,,,,,,,,,
"To maintain stealth , they landed by V-22 Osprey several kilometres away, and then made the trek overland to the compound where Somers and Korkie were being held captive .",anecdote,aljazeera,,,,,,,,,,,,,,,
But something went terribly wrong in the final approach .,assumption,aljazeera,,,,,,,,,,,,,,,
"Perhaps it was a barking dog or some other noise , but the SEALs came under fire as they approached the compound's main entrance .",assumption,aljazeera,,,,,,,,,,,,,,,
"The element of surprise , which is so critical to rescue operations , was lost , and a fierce firefight ensued .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Within 30 minutes, the SEALs had secured the compound and put Somers and Korkie , who were both still alive on a V-22 that had a surgical team standing by .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Unfortunately, medics were unable to save them .",anecdote,aljazeera,,,,,,,,,,,,,,,
Plainly necessary .,no-unit,aljazeera,,,,,,,,,,,,,,,
"For Somers, Saturday's rescue mission was as urgent as it was plainly necessary .",assumption,aljazeera,,,,,,,,,,,,,,,
Late last week AQAP released a video stating he would be killed in 72 hours unless unspecified demands were met .,anecdote,aljazeera,,,,,,,,,,,,,,,
"Those demands have not been made public, but likely involved payment of a ransom or release of AQAP captives, something the US is prohibited by law from doing .",assumption,aljazeera,,,,,,,,,,,,,,,
"For Korkie, the sense of urgency in attempting the rescue operation is more controversial .",assumption,aljazeera,,,,,,,,,,,,,,,
"According to the South African charity Gift of the Giving, a deal had been made with AQAP to release Korkie in just a matter of days, suggesting to many that it would have been better to wait .",testimony,aljazeera,,,,,,,,,,,,,,,
Maybe there was a deal that would have gone through in the end .,assumption,aljazeera,,,,,,,,,,,,,,,
Maybe there wasn't .,assumption,aljazeera,,,,,,,,,,,,,,,
"But in rescue operations, hope is not figured into the equation , where planners and decision makers have to weigh the risks of action against the consequences of inaction .",assumption,aljazeera,,,,,,,,,,,,,,,
"By their very nature, hostage rescue operations are among the most difficult and risky military missions to carry out .",assumption,aljazeera,,,,,,,,,,,,,,,
"With little margin for error, either in intelligence or the operation itself, they demand highly trained and equipped special operations units that only a handful of countries have .",assumption,aljazeera,,,,,,,,,,,,,,,
Are they dangerous and uncertain? Absolutely .,common-ground,aljazeera,,,,,,,,,,,,,,,
Are they impossible? No .,assumption,aljazeera,,,,,,,,,,,,,,,
"In 2012, US Navy SEALs rescued Jessica Buchanan, an American aid worker, and Poul Hagen Thisted, a Danish aid worker , who had been held hostage by Somali pirates for 93 days .",anecdote,aljazeera,,,,,,,,,,,,,,,
The pirates were demanding a $45m ransom for their release .,anecdote,aljazeera,,,,,,,,,,,,,,,
"In this particular case, precise intelligence as to their exact location, along with concerns about Buchanan's rapidly declining health, were major factors in moving forward with the rescue mission .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Under the cover of darkness, the SEAL Team parachuted 19km from where they were being held , and then moved cross-country to conduct the rescue .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Nine pirates were killed during the operation , and Buchanan and Thisted were unharmed .",anecdote,aljazeera,,,,,,,,,,,,,,,
"In 2009, US Navy SEAL snipers ended the hostage ordeal of American Richard Phillips, captain of the cargo ship Maersk Alabama , which had been hijacked by Somali pirates in the Indian Ocean five days earlier .",anecdote,aljazeera,,,,,,,,,,,,,,,
Talks with the pirates ended when they threw the phone used to communicate with negotiators into the ocean .,anecdote,aljazeera,,,,,,,,,,,,,,,
"When one of the pirates pointed his rifle at Captain Phillips' back , snipers shot and killed all three in near simultaneous fashion .",anecdote,aljazeera,,,,,,,,,,,,,,,
Captain Phillips was unharmed .,anecdote,aljazeera,,,,,,,,,,,,,,,
Heartbreaking failures .,no-unit,aljazeera,,,,,,,,,,,,,,,
"In 2005, US Delta Force operators rescued Roy Hallums, an American civilian contractor kidnapped by an al-Qaeda cell in Iraq, after 311 days in captivity .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Again , the intelligence as to Hallums' location was exact - pull up the kitchen carpet and open the faux cement trap door leading into his one room cell .",anecdote,aljazeera,,,,,,,,,,,,,,,
Hallums was unharmed in the operation .,anecdote,aljazeera,,,,,,,,,,,,,,,
"But , as was all too evident on Saturday , there are heartbreaking failures, too .",assumption,aljazeera,,,,,,,,,,,,,,,
"This past July, US special operations forces attempted to rescue James Foley in Syria .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Unfortunately, the intelligence as to where he was being held was incorrect .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Foley was brutally murdered by ISIL just a few weeks later , the videotape of which was released on the internet for the world to see .",anecdote,aljazeera,,,,,,,,,,,,,,,
"In 2010, the US special operations team attempting to rescue her in Afghanistan accidentally killed Linda Norgrove, a British citizen .",anecdote,aljazeera,,,,,,,,,,,,,,,
"There are other failures, all tragic, as well .",assumption,aljazeera,,,,,,,,,,,,,,,
"But there are also other successes , where hostages like Jessica Buchanan, Poul Thisted, Captain Phillips and Roy Hallums , all of whom faced indefinite captivity or even death , are home with their families because decisions were made to rescue them based on calculated risks .",assumption,aljazeera,,,,,,,,,,,,,,,
"No guessing, no maybes, no ""let's keep our fingers crossed and hope for the best"" .",assumption,aljazeera,,,,,,,,,,,,,,,
"Rescue missions are risky, both for the hostages and for the operators who carry them out .",assumption,aljazeera,,,,,,,,,,,,,,,
"Lives are at stake , and it's never an easy choice to give the ""green light"" .",common-ground,aljazeera,,,,,,,,,,,,,,,
"But given the circumstances , particularly when dealing with terrorist organisations , leaders can't always sit back and wait to see what happens .",assumption,aljazeera,,,,,,,,,,,,,,,
"Sometimes, it's less risky to act than not to .",assumption,aljazeera,,,,,,,,,,,,,,,
"And in the case of a hostage rescue operation, I'd place my life in the hands of men dedicated to the task before taking my chances with the likes of a terrorist in the hope that maybe they'll let me go .",assumption,aljazeera,,,,,,,,,,,,,,,
"And in the case of a hostage rescue operation, I'd place my life in the hands of men dedicated to the task before taking my chances with the likes of a terrorist in the hope that maybe they'll let me go .",assumption,aljazeera,,,,,,,,,,,,,,,
Australians turning on their televisions Monday morning to watch breakfast and cooking shows were instead greeted with news channels beaming minute-to-minute fearmongering of the ongoing siege at a chocolate shop in Sydney .,anecdote,aljazeera,,,,,,,,,,,,,,,
"When customers and employees were taken hostage by a lone gunman , and a flag with ""There is only one God"" inscription in Arabic was held in the window , it was enough to hold the rest of the country hostage to their fears and TV screens .",assumption,aljazeera,,,,,,,,,,,,,,,
"Should it be that way and what should an appropriate response look like?  First ,  consider what this violent thug had designed our reaction to be .",assumption,aljazeera,,,,,,,,,,,,,,,
"The site of the siege was likely no afterthought - located in the heart of the Sydney CBD and directly opposite a major television station , the shop had made it ideal for the media to report on .",assumption,aljazeera,,,,,,,,,,,,,,,
"Streets were cordoned off , public transport diverted , and a strong contingent of police sent to the Opera House .",anecdote,aljazeera,,,,,,,,,,,,,,,
All made for good visuals of the incident and terror in an otherwise peaceful city .,assumption,aljazeera,,,,,,,,,,,,,,,
"Even the most left-leaning and progressive members of parliament, like Greens MP Adam Bandt , who have repeatedly defended the Muslim community from unjust discrimination and generalisation , tweeted to their followers in the first hours of the siege that it was ""terrifying"" .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Was it really? Was it at all terrifying for you personally, Adam? If it was , I'd hate to know what the hostages experienced, including the two who were murdered .",assumption,aljazeera,,,,,,,,,,,,,,,
A strike in the public's dark .,no-unit,aljazeera,,,,,,,,,,,,,,,
"For once, Prime Minister Tony Abbott had a more mature response than his colleagues on the opposite side .",assumption,aljazeera,,,,,,,,,,,,,,,
"Such a situation can ""scare people out of being themselves"" , he said in his first press briefing, before urging all Australians to go about their business as usual .",testimony,aljazeera,,,,,,,,,,,,,,,
"Although he told the public to remain vigilant and report any suspicious activity to the authorities , he said so with calm and caution .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Vitally, he avoided using the t-word at this early stage, or any formulation thereof .",anecdote,aljazeera,,,,,,,,,,,,,,,
"No doubt we have since learnt a lot more about this deranged outsider and his motives , and it is clear he had terrorist intent .",assumption,aljazeera,,,,,,,,,,,,,,,
"His website , which was shut down during the final hours of the siege , had a message dated December 14 , which described why Muslims ""fight against the oppression and terrorism"" of the US and its allies , including the UK and Australia .",assumption,aljazeera,,,,,,,,,,,,,,,
"The rampant speculation before this was unnecessary and unhelpful, however , and letting the siege sow fear, enough so to publicly describe it as ""terrifying"" , was handing a victory to an extremist .",assumption,aljazeera,,,,,,,,,,,,,,,
"With the hot Australian summer setting in , many people's minds turn to beer, barbeques, family, and Christmas presents , not the possibility of ""politically motivated violence"", as Abbott wisely phrased it .",assumption,aljazeera,,,,,,,,,,,,,,,
"Intriguingly, Australians fear terrorism more than a foreign invasion, despite many believing we'd have no hope of fending off the latter and despite us never directly experiencing the former .",assumption,aljazeera,,,,,,,,,,,,,,,
"Given the opportunity to attribute a complexly motivated act to terrorism , it's no wonder this all-too-easy escape mechanism which avoids rigorous thought or objective analysis was adopted en masse .",assumption,aljazeera,,,,,,,,,,,,,,,
"The most noted incidents in Australia's experience of terrorism have been mostly foreign tragedies, like the Bali bombings in 2002 and 2005, or the 2004 Australian embassy bombing in Jakarta .",anecdote,aljazeera,,,,,,,,,,,,,,,
"Although the September raids and arrests of suspected domestic terrorists in Sydney and Brisbane set a new landscape and brought the thought of an attack to our own shores , they merely raised the thought, not the authentic actuality .",assumption,aljazeera,,,,,,,,,,,,,,,
"The raids sparked limited local backlash against peaceful Muslims at the time , and this was both unwarranted and unwanted .",anecdote,aljazeera,,,,,,,,,,,,,,,
Though it only goes to further support my thesis ; Australians just aren't used to this sort of thing and thus are unpractised in their response .,assumption,aljazeera,,,,,,,,,,,,,,,
"That said , it hasn't stopped thousands on social media to show solidarity with minorities through the #IllRideWithYou campaign .",assumption,aljazeera,,,,,,,,,,,,,,,
"When the Abbott government raised the domestic terrorism threat level to high before the September raids , many local commentators criticised what they branded as political theatre (both before and after the arrests) .",anecdote,aljazeera,,,,,,,,,,,,,,,
To consider this is to suggest an even baser type of political animal than is presently expected by even the most cynical of observers .,assumption,aljazeera,,,,,,,,,,,,,,,
"Would any rational actor toy with people's lives for short-term political ends in what was an unimportant political week? What end does that even achieve? Plainly, none, and it is sensationally conspiratorialist to suggest otherwise .",assumption,aljazeera,,,,,,,,,,,,,,,
To protest against such raids and continue looking at them through a political lens was just as unwarranted and unwanted as the racial-profiling and racial- hatred which events like these have sparked .,assumption,aljazeera,,,,,,,,,,,,,,,
"Terrorism isn't something that we should let foster, anywhere , and the public reactions to the raids were unjustifiably sceptical in comparison to the response to the Sydney siege .",assumption,aljazeera,,,,,,,,,,,,,,,
"Even so ,  the authorities' heed for caution may have come too late for some .",assumption,aljazeera,,,,,,,,,,,,,,,
Slipshod media reports that the flag held in the shop window was an ISIL flag  - when it was not - may have already fuelled the imaginations of too many .,assumption,aljazeera,,,,,,,,,,,,,,,
"Whatever the outcome of the full investigation , one thing remains clear : This was a tragic learning experience for the Australian media, public, and politicians .",assumption,aljazeera,,,,,,,,,,,,,,,
"Keep calm and carry on, though pay a thought or two to how we ought to respond to events like these in the future .",no-unit,aljazeera,,,,,,,,,,,,,,,
