Sentence,Label,Year
"With the extent to the cancellation of the Cairo agreement,  the importance and positives of Ganel are the commitment of  the implementation of the abolition of the greatest importance and  more positives, by stopping the southern Palestinian operations, so that  the possibility of the cities agreement and the Security Council  decisions demand that Israel to withdraw the Lebanese lands and  the deployment of international forces throughout the border and the  continuation of pressure to achieve by the Lebanese national resistance,  Lebanese work is a legitimate project to liberate and transfer  securityPalestinian autonomy, Arab or international wigs of Lebanese legitimacy",Distant_Expectations_Consequences,1987
"Third, support, escalation, and filling the southern resistance, the framework  of joint operations, fourth.Cairo and considering the Palestinian withdrawal east  of Sidon is necessary to restore the desired meat",Distant_Expectations_Consequences,1987
"Mujneen and Tumuti collected, “The Palestinian National Struggle Jabal announced  that a delegation of the head of Abu Khaled” and  the northern members of Mr. Ibrahim Al -Saadi Abu Riyad  Abu Nidal met the delegation of the Democratic Front for  the Liberation of Palestine, Fahd, Mr. Saleh Zaidan, and consulting  the Lebanese and Palestinian conditions.The meeting agreed to study ways  to enhance the resistance to confront the Israeli attacks and  ways to enhance the confrontation of the Israeli occupation and  its isolation projects Lebanon",Distant_Evaluation,1987
"The Baath Party organization and its leadership issued ""the thunderbolt  in the south, a statement that came nearly the second  in the afternoon of this afternoon, which was a nest,  which was the hand of treachery and workers to assassinate  one of the symbols of the Palestinian national resistance, Hatem  Kaoush, a member of the National Conference of the Arab  Socialist Baath Party, a member of the Lebanese Organization, in  the"" Al -Saqqa, member of the Palestinian National CouncilThe coward  extended to his assassination, but it was aimed at the  assassination of his national positions for years throughout the giving,  gloriousness and effort of the case and the homeland in  particular",Main_Consequence,1987
"In addition to the position of the Soviet Union, despite  his support for Lebanon's sovereignty and his assertion of respect  for sovereignty, and the Palestinian faults and abuses.In front of  the Palestinian armed struggle to avoid Israeli reactions, and the  Lebanese resistance struggle is limited to the liberation of the  south only",Distant_Evaluation,1987
"It demanded to stop the abuse and arrest work, permit  the camps, ensure the return of the displaced, and the  release of detainees and his investigations.And liquidate it and remove  our Palestinian fans, Tire camps",Distant_Expectations_Consequences,1987
"After the meeting ended, the statement was first broadcasted, the  employment is exposed to southern Lebanon, terrorist practices against its  sons and against the Palestinian camps.",Distant_Expectations_Consequences,1987
"The possibility of renewal of the camps, and the observers  fear that the renewal of the renewal of the international  force south is the disturbances and unrest, whether through attacks  that occur in the international force or through attacks by  the national or Islamic resistance against Israel, and the response  comes to it in the Lebanese villages and Palestinian sites  or the tension of the elements of the movement of  hope and the Palestinian fighters warnsRenewed the war of the  war, war changes data and fluctuating money equations renewed",Distant_Expectations_Consequences,1987
"The leadership of the Palestinian resistance issued a statement in  which it came again, the movement of sedimentary sedition, its  overflowing, the tools of the customers, the strong and the  powerful, the movement of the stainedness of their hands with  the blood of the believers, before it was stained with  the blood of the militants of the Lebanese national forces  and the blood of isolation, the sons of our Palestinian  people, the camps of the south",Cause_General,1987
"Amidst the applause, Jumblatt said that the People's Army Day  is a feast and the honorable Lebanese Socialist Progressive Party,  the Syrian National Social Resistance Party, the Lebanese national resistance  organization, the Baath Party organization, the besieged Palestinian camps in  the south, the eastern Christian regions, the hands of the  Gemayel gangs and the Gemayel Army",Distant_Evaluation,1987
"The Palestinian factions page, and the Bayaiya, except the south,  the day, the resistance confrontations and the Israeli forces, the  southern Lebanon army inside the security belt.",Main,1987
"The resistance fighters spoke the death and wounded of the  southern ranks.Passengers did not allow the militias of both sides  of their birds for Lebanese Red Cross cars, and no  explanation was given to this closure",Main,1987
"Attempts to announce the attendance of the partisan groups were  received, calculating the suffering of the Lebanese and Palestinian peoples.",Distant_Evaluation,1987
The office draws the central consolation.The Arkatian military force during  their practice of the roles of the authority,Distant_Evaluation,1987
"The virginity of Haya, Wahba, distributed that he was born  in the Arab Republic of Egypt, Minya Governorate, Mallawi Center,  Upper Egypt.",Distant_Evaluation,1987
"Just as the support of the resistance requires more unity,  the Lebanese national forces, the Palestinian national forces and Syria,  the alliance, dropped the Israeli project, a year, keeps the  basis to drop the Israeli project today, which is the  alliance of forces and battalions, greeting the heroes of the  Lebanese national resistance forehead to all the resistance fighters of  the masses of our steadfast people, the face of the  oppressed Israeli attacks in our south and cities",Distant_Evaluation,1987
"The fifth anniversary of the launch of the Lebanese national  resistance forehead overlooks us today, the Israeli occupation continues for  its wide south, especially the Zionist enemy, implementing its renewed  destructive plan against the Lebanese and Palestinian peoples.",Distant_Evaluation,1987
"He announced the continuation of Syria's support for the Lebanese  resistance in the place of the Israeli forces withdraws the  Israeli forces in southern Lebanon, and the last inch of  the Lebanese territory, and for the Gulf, the Sharia saw  that the tense situation calls for concern the page and  the Palestinians stabilized a factor that was transferred yesterday.",Distant_Evaluation,1987
"The Palestinian oath urged the commitment of the Palestinian unit  and the program of the role and followed by the  official of the women's office, the forehead, Umm SaeedFor the  Lebanese territories adjacent to the southern borders, the properties of  Muslims or Christians are exaggerated",,1987
"In order to remedy the dangerous conditions of the horizon,  the disaster of the Lebanese situation and the Palestinian issue  will not be third.",Distant_Expectations_Consequences,1987
The political office of the movement is the last Israeli  withdrawal.,Distant_Expectations_Consequences,1987
"The radio praised the operations of the Islamic resistance, the  families in southern Lebanon, the Palestinian demonstration, the occupied lands,  and the detention of a Palestinian group, Raqakan.",Main_Consequence,1987
"Ahmed Monch, head of the Nasserite Popular Organization, Eng.",Distant_Evaluation,1987
"Mustafa Saad, confirmed that our choice is translated with sacrifices  offered by our people daily the theater of jihad and  the real struggle.",Distant_Evaluation,1987
"He stressed that Tripoli kneeled and will not give in  to Maggah, the best of the Islamic Assembly movement, Mr.  Saad Eddin Hamidi Saqr, and the head of the National  Union branch for his request for Lebanon, the Bekaa, Mr.  Hossam Raad, the popular committee of the Palestinian resistance movementThe  socialist that the Lebanese crisis is the truth of the  matter in the Arab European",Distant_Expectations_Consequences,1987
"The state is isolated itself interest in the situation of  the south, and the matter was concerned with it and  did not take an explicit and clear position of the  Israeli attacks so that it responded to it.The south is  a war of Emile Khoury, the deputies proposed the meeting  to hold the house of Eng.",Distant_Evaluation,1987
"Danny Chamoun, to fill the seats empty of election by  the parliament",Distant_Evaluation,1987
"Especially the southern Lebanon remains a justification for the continuation  of the resistance, whether it is Palestinian or Lebanese or  other resistance, and when the resistance stops as a result  of the solution, it moves to the Palestinian cause and  the occupation of Israel is partsThe war, Lebanon does not  end, the existence of militias and armed groups, the leakage,  because the war was justified by its establishment and its  continued existence",Distant_Evaluation,1987
"My response, Beirut, Lebanon, we decide to enter the tenth  before Sunday afternoon, the Lebanese army units, the Sabra and  Shatila camp for the security province in them, and to  protect it.The cordon was imposed by the Israeli forces, the  two camps, and the failure to recover the streets of  the streets under the rubble of the houses, destroyed",Main,1982
"He considered that today the Lebanese land is a criminal  planning and that America will not retreat if the Lebanese  displacement of the Lebanese resettled to resettle his place and  stressed that Israel is the first and last official.The Lebanese  emancipation is that he, may God have mercy on him,  is a young man of his hometown and a young  Lebanese service",Main,1982
"The region and set up fixed barriers and a mobile  one, and they raised a number of homes and buildings,  a weapon and wanted, residents of Lebanon.",Main_Consequence,1982
"And he is pervishated by Alaa Anr, a way to  extinguish to a third of its capabilities, the forces of  the Lebanese, and he said: “We are not able to  fill in the circumstances of the slaughterhouse.Mr.",Main_Consequence,1982
"Abdulaziz Hussein, the Minister of State, Syria, will support his  step for his massacre",Main_Consequence,1982
"Judge Aaron Barak to the left and the general in  the reserve, Yuna Afrat, sorry, the scrutiny committees, the slaughter  of Sabra and Shatila, revealed by the Israeli government, head  of the head of the Supreme Court, Isaac Kahan Yybardi,  and the post, the Israeli page, is completed that his  soldiers are “Israeli, Syrian and Palestinian, and their criticism is  never criticized and that“ the morale is Lebanon",Cause_General,1982
"Yi Lahmalm, this is a response that Filclad carried the  Aftta documentaries, a clean massacre of Sabra and Shatila will  present the number of cities of a Asian country for  those who insist.",Cause_General,1982
"We knocked on with her and reported the political correspondent  to the radio, and Joal Nethan, Minister of Sciences, said  to her in front of the Investigation Committee of the  Israeli military judicial in charge of the Israeli military.I remember  that he asked them to return negotiations with the extremist  Egypt later that the ministers and a prominent member of  the party and Shatila, which is headed by Judge Isaac,  the Majzara, to act as human beings and not to  touch the region of Taba at a simultaneous time",Cause_General,1982
"Beat Beirut, Jewish voices against Israel, the pictures tell the  slaughter of Sabra and Shatila, trying to the history of  calamities with a passion for the savage of the West.",Cause_General,1982
They believe Islam.,Cause_General,1982
"The besieged Beirut, I call the Hebrew state to count  the Shan of Amka Ram, Aa Khania, as well as  the head of the grandfather, the grandfather of the haj,  that the re -exchange of the yellow.It is reported that  the Soviet Ambassador was a god who met the sins,  Mr. Vlad",,1982
It is considered that the hole world was evident and  expressed his belief that his chance to establish Lebanon is  stable and the photographers were not allowed to take pictures  of the meeting.,Main_Consequence,1982
"Bigne was laid out to have the death of his  wife and decided not to be taken away from the  day of death.Diplomats, the slaughter of Sabra and Shatila Al  -Sahata Al -Farahrin in the newspapers.",Main_Consequence,1982
"And that Gartral Amusiarun stated that an Israeli military source  said that General Yamoush Sagi, head of military intelligence, Turkis,  in implementation of the pioneers of the Cahan Committee, the  investigation took place",Cause_General,1983
"She added that the meeting dealt with the Lebanese and  Palestinian developments, and the status of this mountain for another  side.",Cause_General,1983
"The town is the direction of the church.With its demonstration  and the mistakes of the two camps, they hit the  morning condemnation.",Distant_Historical,1984
"And the guards of the country must continue, it is  permissible for a Muslim to be a process of process  of extracting weapons, as a crime is forgiven.",Distant_Evaluation,1984
"The Federalism New York invited the former Israeli defense, Ariel  Sharon, the magazine to be held by direct officials.New direct  responsibility, I will threaten that Minister Sharon witnessed the signs",Distant_Evaluation,1984
"To God, the lifetime of the perfection, his forage of  his assets, was accused of exposing the slaughter of Sabra  and Shatila Beirut in general, and this engine is the  authority of the Labor Party and it has three seats  of the church.Barlev, the Minister of Police, Sharon Al -Mi  Al -Saud, or his accommodation with the wish",Distant_Evaluation,1984
"Reuters left the Israeli Minister of Industry, Ariel Sharon and  the Israeli for Lebanon, Tel Aviv, his way to New  York to follow up on the lawsuit, which was held  by the American Time magazine, providing a new certificate that  he said that the Ministry of Justice stated that the  former head of the Supreme Court, Isaac Kahan, was held  by the Israeli investigation committee.By compensation for a million dollars,  because she claimed the attachment indicated that he discussed the  question of the revolutionary family",Main_Consequence,1985
"Al -Mayshah considered that Sharon Shumat as a result of  a novel published by the magazine, the gap of the  Sabra and Shatila Beirut camp, and the jury continued, and  they are women and two men, the other sides of  the mug of the mug of the United States law,  which are if the narration is false if the magazine  published it and it is known that it is false  or neglected to overlook the truth",Main_Consequence,1985
"The court lost yesterday, Ariel Sharon, the Israeli Minister of  Commerce and Industry, was the Minister of Defense, the occurrence  of the gap of the Sabra camps and Shatila, the  case of the mug, which was held by the American  Time magazine, New York, calling for compensation estimated at one  million dollars after the court form of the court decided  that the magazine publishes the article on the subject of  the case bad intention",Main,1985
"Jerusalem, Ishaq Shamir, the Israeli foreign minister and the leader  of the Likud bloc, said that the decision of the  jury had proven that it was published by Sharon's relationship  with his massacre, Sabra and Shatila, as it is a  basic explanation for him.",Distant_Evaluation,1985
"Sharon supporters of Israel successfully with the success of the  former defense minister washing his hands, the massacre of Sabra  and Shatila camps",Main_Consequence,1985
While the hundreds said that they stood up and indicated  that Sharon lost last month his lawsuit was accused by  the encouragement of his slaughterhouses and Shatila and considered that  the development of the courts by road Sharon the responsibilities  he carried it by the Kahan Shan report.,Distant_Evaluation,1985
"The teams ask the crimes of the battalions, Sabra, Shatila,  the crimes of the Baath, and the movement of Tishreen  Tripoli, and he said, “Aj them more in absence, they  killed the people, or they arrested them to achieve the  response of those demanding that the detainees be delivered to  the state.",Distant_Historical,1985
"The anniversary comes, and here is the text of the  eighth statement of the martyrdom of the leader, the teacher,  Kamal Jumblatt, and the liberation of Lebanon, the Israeli occupation,  its agents, and its secretions.The Sabra, Shatila and other crimes  reveal the extent of the rampant hatred of the Israeli  enemy, which revolted against his military and political defeat and  forced to withdraw.",Distant_Evaluation,1985
We remind him of Sabra and Shatila.,Distant_Evaluation,1985
"The methodology, Samir Geagea,, considering the slaughter of Ashnan, through  the Israeli invasion, was accompanied by the massacres of Sabra  and Shatila, reaching his leadership of the Mountain War and  his evacuation of Israel, the besieged monastery of the moon  and the end of its re -concentration of the country  of Jbeil.",Distant_Evaluation,1985
"We also know that the differences America and Israel include  several affairs, and that the American Ambassador Robert Delon warned  of phrases that raise the participation of the Lebanese forces  alongside Israel.",Cause_Specific,1985
The ambassador objected and stressed that France wants to solve  today a concept that kicks off the French revolution and  reminded it of the role of multiple sexual power that  entered to stop the Maronite collapse and withdrew before the  lane of Sabra and Shatila for hours so that the  absence of witnesses will be completed,Main_Consequence,1985
"The army also prohibits the confrontation of the uprising, and  it is considered the practice of the decision and carried  the pillars of the uprising and accused them that they  practiced their crimes against the north Franjieh and against Shimon  and his son Al -Saqra and against the Ashrafian Christian  and in a place where they committed the slaughter of  Sabra and Shatila",Distant_Evaluation,1985
"Amman was completed in Baghdad in southern Lebanon, a standing  of the Palestinian fire and Israel, so it turned in  preparation for the Israeli invasion of Lebanon and its attempt  to strike the military and political presence of the Palestinian  Liberation Organization.",Distant_Evaluation,1985
"In addition, it respects its pledges to protect the Palestinian  camps after the exit of Lebanon, and the matter ended  with a sudden American withdrawal of the Zionist Phalaunity, Sabra,  Sabra and Shatila",Distant_Evaluation,1985
"The political official condemned the Islamic Group of South Sheikh  Salah al -Din, the parts of Dan Al -Majzara, considering  that it is added to the series of massacres committed  by the Israeli enemy, Deir Yassin, Sabra and Shatila",Main_Consequence,1985
"Beirut was exposed to the massacres the beginning of sedition  Lebanon Saturday, the black Saturday, until Sabra, Shatila, and the  suburb.",Distant_Evaluation,1985
"Today, a very frightening new massacre suffers because the bitter  opponents are within the people of Beirut and this sedition  is definitely serving except the Israeli enemy",Distant_Evaluation,1985
"The fact that the massacres have occurred, so we have  to pay a martyr and a wounded, as well as  the displacement of most of our children.It was brutal and  hills, it was burning the camp and carried the losses  and attrition to preserve the coexistence",Main_Consequence,1985
"Sheikh Abdel Halim Zidan spoke his sermons by Al -Bawaba  Mosque Al -Tahta Sidon, changing the political and military facades  of the Lebanese forces, and he said the change of  faces was exposed and united with a relatively new one  that can cheat our people.He criticized the political Maronia and  considered that the Phalanges Party is the Lebanese forces one  school that changed the leadership and the face, and that  they are one work",Distant_Evaluation,1985
"We doubt the suspicion of the Christian audience about the  new symbol and dedicating it to the representative characteristics he  claims to himself due to his good reputation and his  name is associated with his massacre of Sabra and Shatila,  and the world has revealed the role of the international  media.",Distant_Evaluation,1985
"And about his view of the recent changes, the Lebanese  forces, he said that the return of Geagea Al -Wajjah  and the coming of Eli Habiba, except for a substitute  for convincing him to absorb the abode, the local and  western Christian society and its beloved, the perpetrator of the  era of the era, Sabra and Shatila, and his hands  are stained with the blood of the citizens and his  personality is known to be one of the Israeli tools  of the Lebanese forces",Distant_Evaluation,1985
"She mentioned the eastern regions against the Lebanese and the  Palestinians, its massacres Sabra and Shatila, and with the assistant  of the Phalanges Party and its Israeli forces, while invading  Lebanon.",Distant_Historical,1985
"The patriarch Hakim stated that we congratulate Mr. Habiba, his  audacity and the new awakening of Syria, and if it  came late and announced that I will take my visit  to Damascus to know the intentions of the Syrian officials,  the sudden radical change was announced by the master.On the  other hand, it was published by the Timin October magazine.",Distant_Evaluation,1985
"We have set a lamb, Sabra and Shatila, the hands  of the battalions, and today a new lamp is made  by Sabra and Shatila.",Distant_Expectations_Consequences,1985
"Ain Baal, the face of the people of Ain Baal  to the head of the movement of Amal Minister Nabih  Berri Al -Bayan, as we denounce the attack of the  Amal of the believing Mujahideh.The innocent, children, and women are  the treaties of God and His Messenger, the walk.",Main_Consequence,1985
"Patience and Shatila are a symbol of the ugliest, the  label of history, the return to them, and the staining  of the hands of its movement, hope again, the matter  of the nature and the genius of the Arabic language  is rejected in the media, especially if the media is  tried and expert, such as the flags of Arafat",Distant_Expectations_Consequences,1985
"The war warfare was marked by the ninth day of  the camps, the Palestinian fighters, and violent battles took place  against its involvement in the Sabra and Shatila camps.",Main_Consequence,1985
"The hundred was the residents of the Shiite camp, and  when the Lebanese forces' massacre, Sabra and Shatila fell among  them",Main,1985
"The Socialist official spoke of developments Lebanon, and he said  that the situation is very difficult and that Beirut is  conducting a new version of patience and shatila, and it  constitutes its diamonds to the Palestinian indicating the repetition of  its camps.",Distant_Evaluation,1985
"The sacrifice of Sabra and Shatila General carried out by  Sharon with joint forces, an army, which is the Linag  Forces, the slaughter of Sabra, Shatila, and the Burjneh Tower,  a year, which is carried out financially, and the human,  a fascist, the movement of hope, and the Lebanese army,  the sixth brigade, in line with the Zionist political project.",Distant_Evaluation,1985
"The conference came after the Palestinian women launched a pattern  of patience and Shatila to say and he used to  say it, so the response was the call to the  top.",Cause_Specific,1985
"Lebanon is a Chinese silver to Israel, and it was  the godfather",Distant_Evaluation,1985
"When one of the parties to the coalition is the  Israeli symbol, the symbol of its splendor, Sabra and Shatila,  the dialogue site can be our position",Cause_General,1985
"The passage of cars prevented the vegetable market, except for  cars, transporting the vegetables and distributed scraps in the name  of Jabha to save the popular committee.",Main_Consequence,1985
"Our children fell victims to the army.Harik and his heavy  machine guns were gone fire and on the homes of  the Palestinians, barbaric groups launched to storm the homes of  safe families, and as the occupied Zionists did, they did  there",Main_Consequence,1985
"That is why we need coordination, we can protect each  other, and in order to be, God loves to fight  his path, but they are a stacked structure that God  loves allTo save the free person the situation to hold  the papers, the papers will be lost",Distant_Expectations_Consequences,1985
"A strike tomorrow in Ain al -Hilweh is a march,  which was organized by the Palestinian youth, the memory of  the Sabra and Shatila Sidilah Al -Nahar.The perpetrators of the  slaughterhouse, including the blood of our people, showed the most  pure you, O Christianon, the revolution will continue despite the  massacres of victory and liberation",Main_Consequence,1985
The rescue forehead calls for the strike of the daytime  Sidon.,Main_Consequence,1985
"The southern leadership called on the Palestinian national rescue forest  to a general strike today, Ain al -Hilweh camp.The departure  of the fighters, Beirut, the meanings of Arafat's choice of  policy of negotiations",Main_Consequence,1985
"The statement said that three memories pass by the first  week the memory of the head of the Hijri year  puts us, the atmosphere of the beginnings of the Islamic  and second calls puts us.Arabi",Distant_Evaluation,1985
"Celebration of the group, Ain El -Hilweh, Sidon Al -Nahar,  is suitable for the head of the Hijri year",Main_Consequence,1985
"The Secretary of the Islamic Front, Sheikh Muharram Al -Arifi,  spoke, describing the slaughter of Sabra and Shatila as a  conspiracy against Islam and Muslims, Lebanon, and perhaps they have  collided with their Lebanese brothers and saw that projects and  proposals are the most step of the journey of a  thousand miles",Distant_Evaluation,1985
"It was organized by the party and Palestinian fronts that  condemned the slaughter of Sabra, Shatila, and others, the third  anniversary of its massacre, Sabra and Shatila, the Palestinian Liberation  Organization, the fronts and organizations of the massacres and massacres,  committed Harik neighborhood and the attacks of Al -Barajneh, the  Liberation Organization.The occupied homeland rises up our masses against the  Zionist occupation, a broad mass movement.",Main_Consequence,1985
"He mentioned the statement of the popular front with the  massacres of Jordan, in addition to the Sabra and Shatila  massacre, considering that it has produced rich lessons in order  to continue the struggle and struggle",Distant_Expectations_Consequences,1985
"He mentioned his massacre, Sabra and Shatila, revived the souls  of the innocent",Distant_Historical,1985
"He said few of the third anniversary of the invasion  of the Zionist invasion of Beirut, National and Islamic, and  on the anniversary of the massacre of Sabra and Shatila,  today it appears features facing its destiny towards the future  of the country.Complete the liberation of the invading land",Distant_Evaluation,1985
The Democratic Front for the Liberation of Palestine.,Main_Consequence,1985
"The mark, Mr. Muhammad, announced the mark, Mr. Muhammad Hussein  Fadlallah, announced that he refuses to be plans for his  massacre, Sabra, Shatila, and the massacres of the hills of  Zaatar, his followers and the slaughterhouse, and the actor carried  out the hand to him.To the expansion of the border  strip and the construction of the southern settlements, Fadlallah started  his sermons by Friday, the Imam Al -Rida Mosque, Bir  al -Abd",Distant_Expectations_Consequences,1985
"Days have passed by the memory of a slaughterhouse similar  to its images and shapes, the massacre of Ashura, the  slaughter of Sabra and Shatila, such as in it with  the negligence of Palestinians and Lebanese Muslims, right, and it  is permissible to validate pregnant women and elders, and his  inability is a right and slaughtered the youth of isolating  the slaughterhouse.A legal form within its apparatus is trying to  investigate and try to disavow itself in front of the  world around the massacre",Distant_Evaluation,1985
"Reuters reported that the last Defison knew that December was  the body of a ship that had evacuated guerrillas loyal  to the chief executive committee of the Palestinian Liberation Organization,  Mr. Yasser Arafat, in which he joined the Liberation Organization,  a three -year reaction spent by the United States, “Tambak,  a good conscience, and after he saw pictures of his  massacreSabra and Shatila",Main_Consequence,1985
"Three questions raised the images of repeated massacres, the right  of our people and its massacre, Sabra and Shatila, still  before us guarantees the safety of the camps and the  coast of the camps Lebanon after we saw the Tunisian  coast a cash for the Zionist aviation, even though the  residents of Hammam Al -Shatt denied themselves the path of  Lebanon or that it has broken you and has the  rights of the citizens of the Lebanese land and does  it take the role of LebanonSyria and see that the  answer is that of the betrayals of the Arab countries,  which has contained a valuable part of Lebanon",Distant_Expectations_Consequences,1985
"And if we decide to die, America will not be  able to do and observers notice that the words of  the Libyan leader contradicts the purity of the involvement of  Libya, the offensive of Rome and Vienna, and its rejection  of accusations that he provided facilities to train the Abu  Nidal Al -Nidal group, his gendarmerie, and Al -Qahlaqi was  an interview conducted by the Western German television yesterday that  he separated the attacks.Blood bathrooms elsewhere the world referred to  the south of Aqar and the American invasion of the  island of Greenada and its massacre, the Sabra camps and  Shatila, the festival is an occasion.",Distant_Evaluation,1986
"It was mentioned in his massacre, Sabra and Shatila, who  killed the Palestinian women, women and children.",Main_Consequence,1986
"He pointed out that Sharon, the official of his massacre,  the Sabra and Shatila general, and to Begin, the official  of the massacre of Deir Basin, the Gaza Strip in  general, and it was not excluded that Israel launched a  Libyan attack because the goal of Israel is the corruption",Distant_Expectations_Consequences,1986
"And he came to confirm that the forces committed the  lab of Sabra and Shatila, and before that, the Tel  Al -Zaatar and Al -Juna and Burj Al -Hammoud wanted  to give the file of its criminals after they mourned  the bloodshed of the kidnapped people of the kidnapped people  tomorrow afternoon.The weak and unity of them followed the case  of their kidnapped children, and they are the ones concerned  mainly by revealing their fate and determining the real criminal  responsible.",Distant_Historical,1986
"The colonial colonial and the Jewish assault reached its climax,  the occupation of Lebanon and its capital in general, as  the Zionist army entered Beirut, perpetrating its young Crusader agents,  Sabra and Shatila, and every place was improved by their  tanks and their legs, its slave is ugly.",Distant_Historical,1986
"This means the author, the victory of the Palestinian Liberation  Organization, as its southern positions lost its forces, Beirut, providing  a security cover for Palestinian civilians who remained Lebanon.",Distant_Evaluation,1986
"The major states hit the comprehensive rift until the American  policy of its prestige and its sincerity when Israel was  curbed during the invasion, and its guarantee was not the  occurrence of the slaughter of Sabra and Shatila",Distant_Expectations_Consequences,1986
"She emphasized that the fighters, the Shatila camp, thwarted a  process of infiltration to the Austrian Abu Saleh Street, and  that one of them was killed and wounded, including children,  and the forehead called the forces and the national and  Islamic figures to the effective intervention to put an end  to the massacre circulating against our people's camps.The upper Shiite  Islamic Sheikh Muhammad Mahdi Shams al -Din and the mark,  Mr. Muhammad Hussein Fadlallah, wishing them to send a committee  to investigate the facts.",Main,1986
The third massacre occur,Main,1986
"The cabinet vote was considered a personal victory for Chamir,  which could have achieved an official experience to him, such  as the investigation, the massacre of Sabra and Shatila Ariel  Sharon, the Ministry of Defense,",Distant_Evaluation,1986
"Karam traveled to Bogotta as a visit to Colombia, which  takes four days to build the head of the Latin  American journalist Federation, the unitary meeting, Beirut, the fourth anniversary  of the Israeli invasion of Beirut, the fourth anniversary of  the massacre of Sabra and Shatila, and the fourth anniversary  of the start of the national resistance, called the unitary  meeting to a fourth political intellectual symposium next Wednesday afternoon.Abdel  Aziz Bani Yard under the title of the battle of  Beirut Al -Tarbah.",Main_Consequence,1986
"In front of the monument of the martyrs of the  Burj Al -Barajneh camp, the fourth anniversary of its massacre,  Sabra and Shatila, and a condemnation of the Alexandrian meeting  with President Hosni Mubarak and Israeli Prime Minister Shimon Peres  witnessed the Shatila Makhitelle and the Al -Barajanah Tower marches  and put wreaths of the martyrs monument",Main_Consequence,1986
Abu Adnan gave a speech in the name of the  Palestinian National Rescue Jeb.,Distant_Evaluation,1986
"The fourth anniversary of the invasion of Israel to Lebanon,  the memory of its massacre, Sabra and Shatila, that the  Al -Wahdawi meeting was condemned",Main_Consequence,1986
"Beirut taught us not to be afraid, and it is  possible to win the scholars.",Distant_Evaluation,1986
"The fourth anniversary of the Sabra and Shatila massacre, organizations  and bonds of the battle of the Al -Badha, to  the focus of the fourth anniversary of the massacre of  the Sabra and Shatila camp.",Main_Consequence,1986
"The statement stressed that the massacre will remain a stigma  of an Arab forehead, and every Muslim until God sends  the earth the abomination of Israel and returns to the  nation its pride and dignity, and the Jewish Central Jewish  battle remains for our Muslim nation as much as the  confrontation of the most powerful people to the Lebanese alone.Sabra  and Shatila are still their deception and their deception, they  recite according to it, and they will be able to  persuade them, according to the circumstance",Distant_Expectations_Consequences,1986
"He mentioned in his massacre, Sabra and Shatila, an Israeli  line of Katabeh, and he said we must remember the  slaughter of Palestinian children, elderly and Lebanese women.According to the  unification of the forces and parties, one goals, in order  to achieve a real ground, talking to an actor",Distant_Evaluation,1986
"The Nasserite Organization, on the occasion, and in mentioning its  massacre, the camp of Sabra and Shatila Anle, the political  official of the Arab Socialist Union, the Nasserite organization, Mr.  Munhar Al -Sayyad, with the statement of the Lebanese national  fighter, the Palestinian Palestinian fighter, and the Syrian Arab fighter,  and said that everyone was living in the moments of  victory despite the atmosphere of the besieged siege and the  exposed Arab negligence, the conspiracy of the resistance and the  entry of the forcesMultiple sexual resulted in Israeli entry, Sabra  and Shatila's massacres",Main_Consequence,1986
"He praised the role, the Soviet Union, the Democratic Yemen  and Algeria played the direction of the obstacles to the  organizational unit and the great efforts are being made with  us to secure the best conditions for the convening of  a new role for the National Council to crown our  national unit and return the relationship.National and protect it",Distant_Expectations_Consequences,1986
"And we ask Mr. Yasser Arafat why he receives the  regime's headquarters and his party yesterday with a similar one  who receives you today, and why does he want you  today a prisoner of milk, we have the right to  go out.",Distant_Evaluation,1986
"Through the existence of a Lebanese, Arab and Islamic strategy,  it is warned, warning the danger of the Palestinian expansion  to the mountain and the Chouf, and to the Beirut  Road and the Bekaa, surprising the media, political and military  attack, coordinated brigades, the brigades of the Sabra, Shatila and  Arafat Brigades",Distant_Expectations_Consequences,1986
We wonder that the spoiled Israeli boy has become the  forces or the hero of the slaughterhouse of Sabra and  Shatila Eli Habiba as an intimate friend of the Syrian  regime.,Loaded_Language,1987
The relapse is the road to Al -Awza’i.,Distant_Evaluation,1987
"He was responsible for the stakeholder, completed by the post,  the page and between the Syrian President and Mr. Eli  Habiba, the former Lebanese leader, and asked if Hussein's meeting  became a project, then why do we meet Arafat and  if the meeting of Habika becomes the heroes of his  slaughterhouses Sabra and Shatila as a project, then why do  we meet Sharon as the difference of Habika and Sharon,  the former Israeli defense minister",Distant_Evaluation,1987
"The statements of his performance in the name of the  popular committee distributed the camp of Sabra and Shatila, the  popular committee, the popular committees, and the embassy of the  Islamic Republic, Beirut, issued a statement that considered that the  new brutal massacre committed by the Israeli enemy planes, Ain  al -Hilweh, but crosses the extent of hatred and barbaric,  characterized by the historical enemy of our nation",Main_Consequence,1987
"The Bekaa movements are the renewal of the likes of  Eli Habiba, and that you enter into our homes the  face of civilization and peace, we have a feast of  Barbara and the stained blood is patience and Shatila dries  and wrote the correspondent of the Nabatiyeh Al -Naitiya that  the Islamic resistance revived Jabshit the memory of forty martyrs  of the Makkah Makkah attending the delegation of the Iranian  Islamic Republic of Sayyid Muhammad Hashemi and Sheikh Flachi and  the advisor that the embassyIran, Beirut, sedans, Muhammad, my mercy,  scholars, and audience",Main_Consequence,1987
